Código;Categoria 1;Categoria 2
639317;79;
639336;79;
1A1.000.000.AYF1R;45;
1A1.000.000.LYF1R;45;
1A1.000.000.WYF1R;45;
1A4.000.000.AXU1L;45;
1A4.000.000.WXU1L;45;
1B2.000.000.AYP27;45;25
1B2.000.000.LYP27;45;25
1B2.000.000.WYP27;45;25
1B3.000.000.AYE28;45;25
1B3.000.000.LYE28;45;25
1B3.000.000.WYE28;45;25
1F1.000.000.AXU1L;46;
1M1.001.000.AXU1L;43;
1R3.613.X10.LYE27;47;
1V3.000.000.AYE27;45;
1V3.000.000.LYE27;45;
2A1.000.000.AYE27;45;
2A1.000.000.WYE27;45;
2A4.000.000.AXU2L;45;
2C1.000.000.AYG1L;46;
2C1.000.000.WYG1L;46;
2C4.000.000.AYG1L;46;
2F3.000.000.AXG1L;46;
2S1.000.000.AYG1L;46;
2S1.000.000.WYG1L;46;
2S4.000.000.AYG1L;46;
2V3.602.000.AYE27;45;
3G3.000.000.AYE27;45;
3G3.000.000.WYE27;45;
3V3.602.000.AYE1L;45;
4C4.000.000.AYG1L;46;
4S4.000.000.AYG1L;46;
A0010;76;
A0011;76;
A001-100;76;
A001-160;76;
A001-25;76;
A001-250;76;
A001-40;76;
A001-60;76;
A0050;76;
A0100-3;76;
A0100-5;76;
A0200;76;57
A0210;76;57
AXENC/120/1/E/SE;30;
AXENO/120/1/E/SE;30;
AXEPC/120/1/E/SE;30;
AXEPO/120/1/E/SE;30;
B00540BN;35;
B00555-B;35;
B00555-N;35;
B00561-B-40BC;35;
B00561-B-40BF;35;
B00561-B-40BN;35;
B00561-B-CAR;35;37
B00561-B-FYV;35;37
B00561-B-PAN;35;37
B00561-B-PES;35;37
B00561-B-PYM;35;37
B00561-N-40BC;35;
B00561-N-40BF;35;
B00561-N-40BN;35;
B00561-N-CAR;35;37
B00561-N-PES;35;37
B00561-N-PYM;35;37
B00561-N-VER;35;37
B00562-B-10BC;35;
B00562-B-10BF;35;
B00562-B-10BN;35;
B00562-N-10BC;35;
B00562-N-10BN;35;
B00563-B-30BN;35;
B00563-N-30BN;35;
B0056-B-25BC;35;
B0056-B-25BF;35;
B0056-B-25BN;35;
B0056-N-25BC;35;
B0056-N-25BF;35;
B0056-N-25BN;35;
B1002-BC;84;
B1002-BF;84;
B1002-BN;84;
B1004BC;84;
B1004BN;84;
B1008-D-BC;84;
B1008-D-BN;84;
B1010;76;
B101511-2-G;24;
B101521-2-G;24;
B101611-2-G;24;
B101611-B;24;
B101621-2-G;24;
B101631-2-G;24;
B101711-B;24;
B101711-N;24;
B101721-B;24;
B101721-N;24;
B103009-G;24;
B1050;30;
B1107BC;24;
B1107BN;24;
B111-20;74;
B111-30;74;
B11200AR;32;
B11200AR-10;32;
B11200AZ;32;
B11200AZ-10;32;
B11200BC;32;
B11200BC-10;32;
B11200BF;32;
B11200BF-10;32;
B11200RO;32;
B11200RO-10;32;
B11200VE;32;
B11240-1;32;
B11241;32;
B11242;32;
B11243;32;
B11244;32;
B11246;32;
B11247;32;
B1158CCT;33;24
B1260-1-BF;33;
B1260-1-BN;33;
B1260-1-CAR;33;
B1260-1-FYV;33;
B1260-1-PES;33;
B1260-1-PYM;33;
